2020-04-22T10:17:56.445Z|4af858fbfc5b90ef|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/loginRelatedData|200|45|17|358.722|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:17:56.628Z|3ec3165d83d7b289|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/footer|200|777|-|628.288|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:17:56.715Z|2dbb103e0916e92f|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/current|200|449|-|713.931|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:17:56.826Z|614a28cabb70807c|::ffff:127.0.0.1|anonymous|GET|/api/v1/system/status/nodes|200|425|-|61.561|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:17:56.845Z|57d03ac3fff2debf|::ffff:127.0.0.1|admin|GET|/api/v1/system/onboarding|200|179|-|97.882|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:17:56.959Z|12a6a4343a01481c|::ffff:127.0.0.1|admin|GET|/api/v1/ui/artifactsearch/pkg/availablePackages|200|-|-|79.782|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:17:57.014Z|405db197d83d0b3a|::ffff:127.0.0.1|admin|GET|/api/v1/ui/repodata?packageSearch=true|200|430|-|38.579|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:17:57.538Z|163585fb8f14faf2|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|32.260|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:17:58.412Z|11fa796acd66e01 |::ffff:127.0.0.1|admin|GET|/api/v1/ui/treebrowser/repoOrder|200|58|-|23.063|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:17:58.448Z|64283853735d0611|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/current|200|449|-|20.957|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:17:58.846Z|22a902afe49e7bd9|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/current|200|449|-|29.889|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
