2020-03-25 19:20:37,977 [AUDIT] Token created by 'anonymous': tokenId='12d525be-2cec-4491-b222-fd72bfd63ded', issuer='jfrou@01e49j78r7vs30xv5qb9mj5w52', subject='jfrou@01e49j78r7vs30xv5qb9mj5w52', expiry=none, refreshable=false
2020-03-25 19:20:41,700 [AUDIT] Token created by 'anonymous': tokenId='226895b6-17a4-4aba-b669-ea4e12976adf', issuer='jfac@01e49j73ccnr7c17gd5ayt0916', subject='jfac@01e49j73ccnr7c17gd5ayt0916', expiry=1585164161693, refreshable=false
2020-03-25 19:20:41,879 [AUDIT] Token created by 'anonymous': tokenId='47d09384-2377-4ceb-a936-a683420267ee', issuer='jfac@01e49j73ccnr7c17gd5ayt0916', subject='jfac@01e49j73ccnr7c17gd5ayt0916', expiry=1585164161853, refreshable=false
2020-03-25 19:20:42,097 [AUDIT] Token created by 'anonymous': tokenId='5ab74e56-db31-4c32-8549-3e88acb9acc4', issuer='jfac@01e49j73ccnr7c17gd5ayt0916', subject='jfac@01e49j73ccnr7c17gd5ayt0916', expiry=1585164162092, refreshable=false
2020-03-25 19:20:42,486 [AUDIT] Token created by 'anonymous': tokenId='74e40318-96c6-4a1e-9b83-2b2dedfa6df9', issuer='jfmd@01e49j7a9f9sx346488s7y6rc7', subject='jfmd@01e49j7a9f9sx346488s7y6rc7', expiry=none, refreshable=false
2020-03-25 19:20:42,521 [AUDIT] Token created by 'anonymous': tokenId='f2acba76-9d01-4114-aed1-cf08ee917651', issuer='jfac@01e49j73ccnr7c17gd5ayt0916', subject='jfac@01e49j73ccnr7c17gd5ayt0916', expiry=1585164162509, refreshable=false
2020-03-25 19:20:48,651 [AUDIT] Token created by 'anonymous': tokenId='97db47a7-e3a5-4e43-899a-071b2aba13b3', issuer='jfrt@01e49j7nt5qc6w0satw40506g3', subject='jfrt@01e49j7nt5qc6w0satw40506g3', expiry=none, refreshable=false
2020-03-25 19:20:50,611 [AUDIT] Token created by 'jfrt@01e49j7nt5qc6w0satw40506g3': tokenId='af57055c-e771-440a-bf5d-06f25742c08f', issuer='jfrt@01e49j7nt5qc6w0satw40506g3', subject='jfrt@01e49j7nt5qc6w0satw40506g3', expiry=2531244050606, refreshable=false
2020-03-25 19:20:57,874 [AUDIT] Token created by 'anonymous': tokenId='28a7a970-e9ec-471f-8cd1-92e410aeb137', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-03-25 19:20:57,941 [AUDIT] Token created by 'jffe@000': tokenId='78a4c9cc-9123-4f9d-a7c6-a33dfa3cfc43', issuer='jffe@000', subject='jffe@000', expiry=1585164657934, refreshable=false
2020-03-25 19:21:11,330 [AUDIT] Token created by 'jffe@000': tokenId='4ded5093-229e-45da-aa8b-b8a73d6e3fbe', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1585164671328, refreshable=false
2020-03-25 19:21:32,319 [AUDIT] Token created by 'jffe@000': tokenId='0f5c6854-785a-45de-bbac-3f8853016a5a', issuer='jffe@000', subject='admin', expiry=1585165892316, refreshable=true
2020-03-25 19:21:32,399 [AUDIT] Token created by 'jffe@000': tokenId='26f71af9-7841-46f5-b8ff-55990fb08476', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1585164692395, refreshable=false
