2020-03-26T12:23:10.221Z|407106c1be55077d|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/footer|200|162|-|632.115|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:10.328Z|f0015b2cecdff3f |::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/loginRelatedData|200|45|17|665.349|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:10.751Z|15f93dde4ec9cb76|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/current|200|477|-|1125.869|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:10.821Z|6acd790e46832c8d|::ffff:127.0.0.1|anonymous|GET|/api/v1/system/status/nodes|200|425|-|35.330|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:11.966Z|4c5de952614f6e2c|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/artifactsearch/pkg/availablePackages|401|12|-|1120.103|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:12.015Z|4fcf62ea032b8eef|::ffff:127.0.0.1|anonymous|GET|/api/v1/auth/issaml|200|5|-|3.162|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:12.131Z|74b8f98d6c615ba |::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/logout|200|0|0|83.986|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:12.255Z|71e3df45bd0c47e |::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/current|200|477|-|98.772|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:12.780Z|623256abe2d3a6d9|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/loginRelatedData|200|45|17|31.108|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:12.881Z|6bab997425da94e9|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/oauth2/loginRequestPlatform|200|0|-|114.848|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:12.901Z|294c5cb47db542ae|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/footer|200|162|-|140.194|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:13.463Z|2ff54da7aaec32b0|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/treebrowser/repoOrder|401|12|-|1.992|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:13.535Z|9e297e4db6776fd |::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/current|200|477|-|51.408|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:15.886Z|5ab0c9e19234e949|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/login?_spring_security_remember_me=false|200|423|54|254.019|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:16.133Z|11a102482feeb8ec|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|101.094|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:16.150Z|3cce518e33661d5b|::ffff:127.0.0.1|admin|GET|/api/v1/system/onboarding|200|178|-|128.837|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:16.250Z|1084b2bc8e528786|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/footer|200|779|-|19.887|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:16.282Z|10a46c8f8627ac9a|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/loginRelatedData|200|45|17|22.227|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:16.302Z|3b132084f8d40768|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/current|200|468|-|47.964|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:16.457Z|42259b939d535c06|::ffff:127.0.0.1|anonymous|GET|/api/v1/system/status/nodes|200|425|-|14.304|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:16.476Z|3f7d7cc67bcc9514|::ffff:127.0.0.1|admin|GET|/api/v1/system/onboarding|200|178|-|41.218|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:16.596Z|114d56b7faf75c03|::ffff:127.0.0.1|admin|GET|/api/v1/ui/artifactsearch/pkg/availablePackages|200|-|-|63.212|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:16.658Z|2c2aa983ded2cfe4|::ffff:127.0.0.1|admin|GET|/api/v1/ui/repodata?packageSearch=true|200|430|-|40.734|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:16.823Z|5459f31d8a0a8d9b|::ffff:127.0.0.1|admin|GET|/api/v1/ui/home/widget/artifactCount|200|69|-|55.574|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:16.862Z|642c58993761b78b|::ffff:127.0.0.1|admin|POST|/api/v1/mds/packages?jfLoader=true|200|42|242|39.659|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:23:41.038Z|2a533cad832da2f4|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|65.088|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:24:06.039Z|e53ca4d2d6c36b2 |::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|51.481|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:24:31.027Z|587b39b15b814a78|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|57.618|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:24:55.994Z|63ec6895ebce21ba|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|18.755|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:25:20.991Z|7615d5f079f3f0a9|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|20.949|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:25:46.010Z|1f1b9682ba37039a|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|31.189|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:10.998Z|2148d5d51fd6e5cd|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|18.932|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:36.002Z|35b56ffc0f644334|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|17.962|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:42.483Z|7cddff6988dfdfad|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/loginRelatedData|200|45|17|26.256|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:42.503Z|3b9b1aaab2a1cb55|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/footer|200|162|-|53.077|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:42.530Z|609688c3efccf35e|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/current|200|477|-|74.273|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:42.589Z|d7cac57f1e35a4b |::ffff:127.0.0.1|anonymous|GET|/api/v1/system/status/nodes|200|425|-|9.410|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:42.617Z|325605a46b94755e|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/artifactsearch/pkg/availablePackages|401|12|-|4.779|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:42.649Z|1cc0de206dfd5a17|::ffff:127.0.0.1|anonymous|GET|/api/v1/auth/issaml|200|5|-|0.976|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:42.671Z|3eff59c3da61c57c|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/logout|200|0|0|11.020|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:42.730Z|3cd64184e9216ec0|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/current|200|477|-|49.761|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:43.103Z|682e39efed5d4a62|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/loginRelatedData|200|45|17|39.730|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:43.155Z|692485fc7d856393|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/oauth2/loginRequestPlatform|200|0|-|51.666|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:43.174Z|57a624d00304ebcb|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/footer|200|162|-|103.338|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:44.304Z|54f68b9077d447fe|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/treebrowser/repoOrder|401|12|-|2.227|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:44.368Z|5364480a4d44a60f|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/current|200|477|-|37.330|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:49.088Z|7e26d0fa0b9febe0|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/login?_spring_security_remember_me=false|200|423|54|127.322|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:49.261Z|18bdc9b2f480df42|::ffff:127.0.0.1|admin|GET|/api/v1/system/onboarding|200|178|-|110.874|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:49.268Z|4e4430c846afeac |::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|111.091|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:49.320Z|519949588df73de9|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/footer|200|779|-|25.705|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:49.322Z|64a4b103c526a2a6|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/loginRelatedData|200|45|17|19.296|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:49.351Z|4a490c849c6c6f7a|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/current|200|468|-|42.030|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:49.428Z|726b298d5065f975|::ffff:127.0.0.1|anonymous|GET|/api/v1/system/status/nodes|200|425|-|11.257|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:49.440Z|17116a301fb32efd|::ffff:127.0.0.1|admin|GET|/api/v1/system/onboarding|200|178|-|31.971|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:49.460Z|2edd1c8715476061|::ffff:127.0.0.1|admin|GET|/api/v1/ui/artifactsearch/pkg/availablePackages|200|-|-|9.722|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:49.486Z|1f88a4ab68ae7c5f|::ffff:127.0.0.1|admin|GET|/api/v1/ui/repodata?packageSearch=true|200|430|-|20.635|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:49.591Z|4858b6715e748293|::ffff:127.0.0.1|admin|GET|/api/v1/ui/home/widget/artifactCount|200|69|-|11.483|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:26:49.671Z|717e556f36b59fee|::ffff:127.0.0.1|admin|POST|/api/v1/mds/packages?jfLoader=true|200|42|242|69.183|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:27:14.163Z|4ab28f2485f3288a|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|15.085|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:27:39.215Z|431eaf6f6a93bd4a|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|34.537|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:28:04.171Z|35c03ae07514a640|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|22.282|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:28:29.165Z|459c3257b0d66809|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|15.540|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:28:54.223Z|627f7b6c37a52341|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|55.005|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:29:19.178Z|636cc1091cb7a07d|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|28.063|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:29:44.172Z|47f838dd19e48c5c|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|17.965|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:30:09.175Z|48d7da14618fa800|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|19.761|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
2020-03-26T12:30:34.172Z|177c0ef423b514c8|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|17.359|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0
